fecha,juego,mercado,seleccion,cuota,probabilidad,valor,resultado,ganancia,stake_pct,stake_amount,bankroll_before,bankroll_after,profit_amount,yield_pct,created_at,settled_at
2026-04-07,Arizona Diamondbacks @ New York Mets,RL,New York Mets,2.5,0.5922,11.0,lose,-1.0,1,10.6,1060.43,1049.83,-10.6,-100.0,,2026-06-05 14:54:18
2026-04-07,San Diego Padres @ Pittsburgh Pirates,TOTAL,Over 6.5,2.0,0.52,47.86,win,1.0,1,10.5,1049.83,1060.33,10.5,100.0,,2026-06-05 14:54:18
2026-04-07,Chicago Cubs @ Tampa Bay Rays,ML,Tampa Bay Rays,1.81,0.6334,14.65,lose,-1.0,1,10.6,1060.33,1049.73,-10.6,-100.0,,2026-06-05 14:54:18
2026-04-07,Cincinnati Reds @ Miami Marlins,ML,Miami Marlins,1.75,0.6482,13.43,lose,-1.0,1,10.5,1049.73,1039.23,-10.5,-100.0,,2026-06-05 14:54:18
2026-04-07,St. Louis Cardinals @ Washington Nationals,ML,St. Louis Cardinals,2.02,0.6739,36.13,win,1.02,1,10.39,1039.23,1049.83,10.6,102.02,,2026-06-05 14:54:18
2026-04-07,Milwaukee Brewers @ Boston Red Sox,ML,Milwaukee Brewers,2.34,0.7494,75.36,lose,-1.0,1,10.5,1049.83,1039.33,-10.5,-100.0,,2026-06-05 14:54:18
2026-04-07,Athletics @ New York Yankees,RL,New York Yankees,1.93,0.766,22.59,win,0.93,1,10.39,1039.33,1048.99,9.66,92.97,,2026-06-05 14:54:18
2026-04-07,Los Angeles Dodgers @ Toronto Blue Jays,TOTAL,Under 8.0,2.02,0.52,31.29,win,1.02,1,10.49,1048.99,1059.69,10.7,102.0,,2026-06-05 14:54:18
2026-04-07,Detroit Tigers @ Minnesota Twins,TOTAL,Under 7.0,2.0,0.52,27.13,win,1.0,1,10.6,1059.69,1070.29,10.6,100.0,,2026-06-05 14:54:18
2026-04-07,Seattle Mariners @ Texas Rangers,ML,Seattle Mariners,1.9,0.8126,54.39,lose,-1.0,1,10.7,1070.29,1059.59,-10.7,-100.0,,2026-06-05 14:54:18
2026-04-07,Houston Astros @ Colorado Rockies,TOTAL,Over 11.0,2.0,0.52,15.77,lose,-1.0,1,10.6,1059.59,1048.99,-10.6,-100.0,,2026-06-05 14:54:18
2026-04-07,Atlanta Braves @ Los Angeles Angels,ML,Atlanta Braves,1.74,0.8742,52.11,win,0.74,1,10.49,1048.99,1056.75,7.76,73.98,,2026-06-05 14:54:18
2026-04-07,Philadelphia Phillies @ San Francisco Giants,TOTAL,Under 7.0,1.95,0.52,45.18,win,0.95,1,10.57,1056.75,1066.79,10.04,94.99,,2026-06-05 14:54:18
